channel,name,color,group,group
981,Pixel 10,RGB,Mega Tree/String 12,
984,Pixel 11,RGB,Mega Tree/String 12,
987,Pixel 12,RGB,Mega Tree/String 12,
990,Pixel 13,RGB,Mega Tree/String 12,
993,Pixel 14,RGB,Mega Tree/String 12,
996,Pixel 15,RGB,Mega Tree/String 12,
999,Pixel 16,RGB,Mega Tree/String 12,
1002,Pixel 17,RGB,Mega Tree/String 12,
1005,Pixel 18,RGB,Mega Tree/String 12,
1008,Pixel 19,RGB,Mega Tree/String 12,
1011,Pixel 20,RGB,Mega Tree/String 12,
1014,Pixel 21,RGB,Mega Tree/String 12,
1017,Pixel 22,RGB,Mega Tree/String 12,
1020,Pixel 23,RGB,Mega Tree/String 12,
1023,Pixel 24,RGB,Mega Tree/String 12,
1026,Pixel 25,RGB,Mega Tree/String 12,
1029,Pixel 1,RGB,Mega Tree/String 13,
1032,Pixel 2,RGB,Mega Tree/String 13,
1035,Pixel 3,RGB,Mega Tree/String 13,
1038,Pixel 4,RGB,Mega Tree/String 13,
1041,Pixel 5,RGB,Mega Tree/String 13,
1044,Pixel 6,RGB,Mega Tree/String 13,
1047,Pixel 7,RGB,Mega Tree/String 13,
1050,Pixel 8,RGB,Mega Tree/String 13,
1053,Pixel 9,RGB,Mega Tree/String 13,
1056,Pixel 10,RGB,Mega Tree/String 13,
1059,Pixel 11,RGB,Mega Tree/String 13,
1062,Pixel 12,RGB,Mega Tree/String 13,
1065,Pixel 13,RGB,Mega Tree/String 13,
1068,Pixel 14,RGB,Mega Tree/String 13,
1071,Pixel 15,RGB,Mega Tree/String 13,
1074,Pixel 16,RGB,Mega Tree/String 13,
1077,Pixel 17,RGB,Mega Tree/String 13,
1080,Pixel 18,RGB,Mega Tree/String 13,
1083,Pixel 19,RGB,Mega Tree/String 13,
1086,Pixel 20,RGB,Mega Tree/String 13,
1089,Pixel 21,RGB,Mega Tree/String 13,
1092,Pixel 22,RGB,Mega Tree/String 13,
1095,Pixel 23,RGB,Mega Tree/String 13,
1098,Pixel 24,RGB,Mega Tree/String 13,
1101,Pixel 25,RGB,Mega Tree/String 13,
1104,Pixel 1,RGB,Mega Tree/String 14,
1107,Pixel 2,RGB,Mega Tree/String 14,
1110,Pixel 3,RGB,Mega Tree/String 14,
1113,Pixel 4,RGB,Mega Tree/String 14,
1116,Pixel 5,RGB,Mega Tree/String 14,
1119,Pixel 6,RGB,Mega Tree/String 14,
1122,Pixel 7,RGB,Mega Tree/String 14,
1125,Pixel 8,RGB,Mega Tree/String 14,
1128,Pixel 9,RGB,Mega Tree/String 14,
1131,Pixel 10,RGB,Mega Tree/String 14,
1134,Pixel 11,RGB,Mega Tree/String 14,
1137,Pixel 12,RGB,Mega Tree/String 14,
1140,Pixel 13,RGB,Mega Tree/String 14,
1143,Pixel 14,RGB,Mega Tree/String 14,
1146,Pixel 15,RGB,Mega Tree/String 14,
1149,Pixel 16,RGB,Mega Tree/String 14,
1152,Pixel 17,RGB,Mega Tree/String 14,
1155,Pixel 18,RGB,Mega Tree/String 14,
1158,Pixel 19,RGB,Mega Tree/String 14,
1161,Pixel 20,RGB,Mega Tree/String 14,
1164,Pixel 21,RGB,Mega Tree/String 14,
1167,Pixel 22,RGB,Mega Tree/String 14,
1170,Pixel 23,RGB,Mega Tree/String 14,
1173,Pixel 24,RGB,Mega Tree/String 14,
1176,Pixel 25,RGB,Mega Tree/String 14,
1179,Pixel 1,RGB,Mega Tree/String 15,
1182,Pixel 2,RGB,Mega Tree/String 15,
1185,Pixel 3,RGB,Mega Tree/String 15,
1188,Pixel 4,RGB,Mega Tree/String 15,
1191,Pixel 5,RGB,Mega Tree/String 15,
1194,Pixel 6,RGB,Mega Tree/String 15,
1197,Pixel 7,RGB,Mega Tree/String 15,
1200,Pixel 8,RGB,Mega Tree/String 15,
1203,Pixel 9,RGB,Mega Tree/String 15,
1206,Pixel 10,RGB,Mega Tree/String 15,
1209,Pixel 11,RGB,Mega Tree/String 15,
1212,Pixel 12,RGB,Mega Tree/String 15,
1215,Pixel 13,RGB,Mega Tree/String 15,
1218,Pixel 14,RGB,Mega Tree/String 15,
1221,Pixel 15,RGB,Mega Tree/String 15,
1224,Pixel 16,RGB,Mega Tree/String 15,
1227,Pixel 17,RGB,Mega Tree/String 15,
1230,Pixel 18,RGB,Mega Tree/String 15,
1233,Pixel 19,RGB,Mega Tree/String 15,
1236,Pixel 20,RGB,Mega Tree/String 15,
1239,Pixel 21,RGB,Mega Tree/String 15,
1242,Pixel 22,RGB,Mega Tree/String 15,
1245,Pixel 23,RGB,Mega Tree/String 15,
1248,Pixel 24,RGB,Mega Tree/String 15,
1251,Pixel 25,RGB,Mega Tree/String 15,
1254,Pixel 1,RGB,Mega Tree/String 16,
1257,Pixel 2,RGB,Mega Tree/String 16,
1260,Pixel 3,RGB,Mega Tree/String 16,
1263,Pixel 4,RGB,Mega Tree/String 16,
1266,Pixel 5,RGB,Mega Tree/String 16,
1269,Pixel 6,RGB,Mega Tree/String 16,
1272,Pixel 7,RGB,Mega Tree/String 16,
1275,Pixel 8,RGB,Mega Tree/String 16,
1278,Pixel 9,RGB,Mega Tree/String 16,
1281,Pixel 10,RGB,Mega Tree/String 16,
1284,Pixel 11,RGB,Mega Tree/String 16,
1287,Pixel 12,RGB,Mega Tree/String 16,
1290,Pixel 13,RGB,Mega Tree/String 16,
1293,Pixel 14,RGB,Mega Tree/String 16,
1296,Pixel 15,RGB,Mega Tree/String 16,
1299,Pixel 16,RGB,Mega Tree/String 16,
1302,Pixel 17,RGB,Mega Tree/String 16,
1305,Pixel 18,RGB,Mega Tree/String 16,
1308,Pixel 19,RGB,Mega Tree/String 16,
1311,Pixel 20,RGB,Mega Tree/String 16,
1314,Pixel 21,RGB,Mega Tree/String 16,
1317,Pixel 22,RGB,Mega Tree/String 16,
1320,Pixel 23,RGB,Mega Tree/String 16,
1323,Pixel 24,RGB,Mega Tree/String 16,
1326,Pixel 25,RGB,Mega Tree/String 16,
1329,Pixel 1,RGB,Border/East,
1332,Pixel 2,RGB,Border/East,
1335,Pixel 3,RGB,Border/East,
1338,Pixel 4,RGB,Border/East,
1341,Pixel 5,RGB,Border/East,
1344,Pixel 6,RGB,Border/East,
1347,Pixel 7,RGB,Border/East,
1350,Pixel 8,RGB,Border/East,
1353,Pixel 9,RGB,Border/East,
1356,Pixel 10,RGB,Border/East,
1359,Pixel 11,RGB,Border/East,
1362,Pixel 12,RGB,Border/East,
1365,Pixel 13,RGB,Border/East,
1368,Pixel 14,RGB,Border/East,
1371,Pixel 15,RGB,Border/East,
1374,Pixel 16,RGB,Border/East,
1377,Pixel 17,RGB,Border/East,
1380,Pixel 18,RGB,Border/East,
1383,Pixel 19,RGB,Border/East,
1386,Pixel 20,RGB,Border/East,
1389,Pixel 21,RGB,Border/East,
1392,Pixel 22,RGB,Border/East,
1395,Pixel 23,RGB,Border/East,
1398,Pixel 24,RGB,Border/East,
1401,Pixel 25,RGB,Border/East,
1404,Pixel 26,RGB,Border/East,
1407,Pixel 27,RGB,Border/East,
1410,Pixel 28,RGB,Border/East,
1413,Pixel 29,RGB,Border/East,
1416,Pixel 30,RGB,Border/East,
1419,Pixel 31,RGB,Border/East,
1422,Pixel 32,RGB,Border/East,
1425,Pixel 33,RGB,Border/East,
1428,Pixel 34,RGB,Border/East,
1431,Pixel 35,RGB,Border/East,
1434,Pixel 36,RGB,Border/East,
1437,Pixel 37,RGB,Border/East,
1440,Pixel 38,RGB,Border/East,
1443,Pixel 39,RGB,Border/East,
1446,Pixel 40,RGB,Border/East,
1449,Pixel 41,RGB,Border/East,
1452,Pixel 42,RGB,Border/East,
1455,Pixel 43,RGB,Border/East,
1458,Pixel 44,RGB,Border/East,
1461,Pixel 45,RGB,Border/East,
1464,Pixel 46,RGB,Border/East,
1467,Pixel 47,RGB,Border/East,
1470,Pixel 48,RGB,Border/East,
1473,Pixel 49,RGB,Border/East,
1476,Pixel 50,RGB,Border/East,
1479,Pixel 51,RGB,Border/East,
1482,Pixel 52,RGB,Border/East,
1485,Pixel 53,RGB,Border/East,
1488,Pixel 54,RGB,Border/East,
1491,Pixel 55,RGB,Border/East,
1494,Pixel 56,RGB,Border/East,
1497,Pixel 57,RGB,Border/East,
1500,Pixel 58,RGB,Border/East,
1503,Pixel 59,RGB,Border/East,
1506,Pixel 60,RGB,Border/East,
1509,Pixel 61,RGB,Border/East,
1512,Pixel 1,RGB,Border/Top Eve,
1515,Pixel 2,RGB,Border/Top Eve,
1518,Pixel 3,RGB,Border/Top Eve,
1521,Pixel 4,RGB,Border/Top Eve,
1524,Pixel 5,RGB,Border/Top Eve,
1527,Pixel 6,RGB,Border/Top Eve,
1530,Pixel 7,RGB,Border/Top Eve,
1533,Pixel 8,RGB,Border/Top Eve,
1536,Pixel 9,RGB,Border/Top Eve,
1539,Pixel 10,RGB,Border/Top Eve,
1542,Pixel 11,RGB,Border/Top Eve,
1545,Pixel 12,RGB,Border/Top Eve,
1548,Pixel 13,RGB,Border/Top Eve,
1551,Pixel 14,RGB,Border/Top Eve,
1554,Pixel 15,RGB,Border/Top Eve,
1557,Pixel 16,RGB,Border/Top Eve,
1560,Pixel 17,RGB,Border/Top Eve,
1563,Pixel 18,RGB,Border/Top Eve,
1566,Pixel 19,RGB,Border/Top Eve,
1569,Pixel 20,RGB,Border/Top Eve,
1572,Pixel 21,RGB,Border/Top Eve,
1575,Pixel 22,RGB,Border/Top Eve,
1578,Pixel 23,RGB,Border/Top Eve,
1581,Pixel 24,RGB,Border/Top Eve,
1584,Pixel 25,RGB,Border/Top Eve,
1587,Pixel 26,RGB,Border/Top Eve,
1590,Pixel 27,RGB,Border/Top Eve,
1593,Pixel 28,RGB,Border/Top Eve,
1596,Pixel 29,RGB,Border/Top Eve,
1599,Pixel 30,RGB,Border/Top Eve,
1602,Pixel 31,RGB,Border/Top Eve,
1605,Pixel 32,RGB,Border/Top Eve,
1608,Pixel 33,RGB,Border/Top Eve,
1611,Pixel 34,RGB,Border/Top Eve,
1614,Pixel 35,RGB,Border/Top Eve,
1617,Pixel 36,RGB,Border/Top Eve,
1620,Pixel 37,RGB,Border/Top Eve,
1623,Pixel 38,RGB,Border/Top Eve,
1626,Pixel 39,RGB,Border/Top Eve,
1629,Pixel 40,RGB,Border/Top Eve,
1632,Pixel 41,RGB,Border/Top Eve,
1635,Pixel 42,RGB,Border/Top Eve,
1638,Pixel 43,RGB,Border/Top Eve,
1641,Pixel 44,RGB,Border/Top Eve,
1644,Pixel 45,RGB,Border/Top Eve,
1647,Pixel 46,RGB,Border/Top Eve,
1650,Pixel 47,RGB,Border/Top Eve,
1653,Pixel 48,RGB,Border/Top Eve,
1656,Pixel 49,RGB,Border/Top Eve,
1659,Pixel 50,RGB,Border/Top Eve,
1662,Pixel 51,RGB,Border/Top Eve,
1665,Pixel 52,RGB,Border/Top Eve,
1668,Pixel 53,RGB,Border/Top Eve,
1671,Pixel 54,RGB,Border/Top Eve,
1674,Pixel 55,RGB,Border/Top Eve,
1677,Pixel 56,RGB,Border/Top Eve,
1680,Pixel 57,RGB,Border/Top Eve,
1683,Pixel 58,RGB,Border/Top Eve,
1686,Pixel 59,RGB,Border/Top Eve,
1689,Pixel 60,RGB,Border/Top Eve,
1692,Pixel 61,RGB,Border/Top Eve,
1695,Pixel 62,RGB,Border/Top Eve,
1698,Pixel 63,RGB,Border/Top Eve,
1701,Pixel 64,RGB,Border/Top Eve,
1704,Pixel 65,RGB,Border/Top Eve,
1707,Pixel 66,RGB,Border/Top Eve,
1710,Pixel 67,RGB,Border/Top Eve,
1713,Pixel 68,RGB,Border/Top Eve,
1716,Pixel 69,RGB,Border/Top Eve,
1719,Pixel 70,RGB,Border/Top Eve,
1722,Pixel 71,RGB,Border/Top Eve,
1725,Pixel 72,RGB,Border/Top Eve,
1728,Pixel 73,RGB,Border/Top Eve,
1731,Pixel 74,RGB,Border/Top Eve,
1734,Pixel 75,RGB,Border/Top Eve,
1737,Pixel 76,RGB,Border/Top Eve,
1740,Pixel 77,RGB,Border/Top Eve,
1743,Pixel 78,RGB,Border/Top Eve,
1746,Pixel 79,RGB,Border/Top Eve,
1749,Pixel 80,RGB,Border/Top Eve,
1752,Pixel 81,RGB,Border/Top Eve,
1755,Pixel 82,RGB,Border/Top Eve,
1758,Pixel 83,RGB,Border/Top Eve,
1761,Pixel 84,RGB,Border/Top Eve,
1764,Pixel 85,RGB,Border/Top Eve,
1767,Pixel 86,RGB,Border/Top Eve,
1770,Pixel 87,RGB,Border/Top Eve,
1773,Pixel 88,RGB,Border/Top Eve,
1776,Pixel 89,RGB,Border/Top Eve,
1779,Pixel 90,RGB,Border/Top Eve,
1782,Pixel 91,RGB,Border/Top Eve,
1785,Pixel 92,RGB,Border/Top Eve,
1788,Pixel 93,RGB,Border/Top Eve,
1791,Pixel 94,RGB,Border/Top Eve,
1794,Pixel 95,RGB,Border/Top Eve,
1797,Pixel 96,RGB,Border/Top Eve,
1800,Pixel 97,RGB,Border/Top Eve,
1803,Pixel 98,RGB,Border/Top Eve,
1806,Pixel 99,RGB,Border/Top Eve,
1809,Pixel 100,RGB,Border/Top Eve,
1812,Pixel 101,RGB,Border/Top Eve,
1815,Pixel 102,RGB,Border/Top Eve,
1818,Pixel 103,RGB,Border/Top Eve,
1821,Pixel 104,RGB,Border/Top Eve,
1824,Pixel 105,RGB,Border/Top Eve,
1827,Pixel 106,RGB,Border/Top Eve,
1830,Pixel 107,RGB,Border/Top Eve,
1833,Pixel 108,RGB,Border/Top Eve,
1836,Pixel 109,RGB,Border/Top Eve,
1839,Pixel 110,RGB,Border/Top Eve,
1842,Pixel 111,RGB,Border/Top Eve,
1845,Pixel 112,RGB,Border/Top Eve,
1848,Pixel 113,RGB,Border/Top Eve,
1851,Pixel 114,RGB,Border/Top Eve,
1854,Pixel 115,RGB,Border/Top Eve,
1857,Pixel 116,RGB,Border/Top Eve,
1860,Pixel 117,RGB,Border/Top Eve,
1863,Pixel 118,RGB,Border/Top Eve,
1866,Pixel 119,RGB,Border/Top Eve,
1869,Pixel 120,RGB,Border/Top Eve,
1872,Pixel 121,RGB,Border/Top Eve,
1875,Pixel 122,RGB,Border/Top Eve,
1878,Pixel 123,RGB,Border/Top Eve,
1881,Pixel 124,RGB,Border/Top Eve,
1884,Pixel 125,RGB,Border/Top Eve,
1887,Pixel 126,RGB,Border/Top Eve,
1890,Pixel 127,RGB,Border/Top Eve,
1893,Pixel 128,RGB,Border/Top Eve,
1896,Pixel 129,RGB,Border/Top Eve,
1899,Pixel 130,RGB,Border/Top Eve,
1902,Pixel 131,RGB,Border/Top Eve,
1905,Pixel 132,RGB,Border/Top Eve,
1908,Pixel 133,RGB,Border/Top Eve,
1911,Pixel 134,RGB,Border/Top Eve,
1914,Pixel 135,RGB,Border/Top Eve,
1917,Pixel 136,RGB,Border/Top Eve,
1920,Pixel 137,RGB,Border/Top Eve,
1923,Pixel 138,RGB,Border/Top Eve,
1926,Pixel 139,RGB,Border/Top Eve,
1929,Pixel 140,RGB,Border/Top Eve,
1932,Pixel 141,RGB,Border/Top Eve,
1935,Pixel 142,RGB,Border/Top Eve,
1938,Pixel 143,RGB,Border/Top Eve,
1941,Pixel 144,RGB,Border/Top Eve,
1944,Pixel 145,RGB,Border/Top Eve,
1947,Pixel 146,RGB,Border/Top Eve,
1950,Pixel 147,RGB,Border/Top Eve,
1953,Pixel 148,RGB,Border/Top Eve,
1956,Pixel 149,RGB,Border/Top Eve,
1959,Pixel 150,RGB,Border/Top Eve,
1962,Pixel 1,RGB,Border/West,
1965,Pixel 2,RGB,Border/West,
1968,Pixel 3,RGB,Border/West,
1971,Pixel 4,RGB,Border/West,
1974,Pixel 5,RGB,Border/West,
1977,Pixel 6,RGB,Border/West,
1980,Pixel 7,RGB,Border/West,
1983,Pixel 8,RGB,Border/West,
1986,Pixel 9,RGB,Border/West,
1989,Pixel 10,RGB,Border/West,
1992,Pixel 11,RGB,Border/West,
1995,Pixel 12,RGB,Border/West,
1998,Pixel 13,RGB,Border/West,
2001,Pixel 14,RGB,Border/West,
2004,Pixel 15,RGB,Border/West,
2007,Pixel 16,RGB,Border/West,
2010,Pixel 17,RGB,Border/West,
2013,Pixel 18,RGB,Border/West,
2016,Pixel 19,RGB,Border/West,
2019,Pixel 20,RGB,Border/West,
2022,Pixel 21,RGB,Border/West,
2025,Pixel 22,RGB,Border/West,
2028,Pixel 23,RGB,Border/West,
2031,Pixel 24,RGB,Border/West,
2034,Pixel 25,RGB,Border/West,
2037,Pixel 26,RGB,Border/West,
2040,Pixel 27,RGB,Border/West,
2043,Pixel 28,RGB,Border/West,
2046,Pixel 29,RGB,Border/West,
2049,Pixel 30,RGB,Border/West,
2052,Pixel 31,RGB,Border/West,
2055,Pixel 32,RGB,Border/West,
2058,Pixel 33,RGB,Border/West,
2061,Pixel 34,RGB,Border/West,
2064,Pixel 35,RGB,Border/West,
2067,Pixel 36,RGB,Border/West,
2070,Pixel 37,RGB,Border/West,
2073,Pixel 38,RGB,Border/West,
2076,Pixel 39,RGB,Border/West,
2079,Pixel 40,RGB,Border/West,
2082,Pixel 41,RGB,Border/West,
2085,Pixel 42,RGB,Border/West,
2088,Pixel 43,RGB,Border/West,
2091,Pixel 44,RGB,Border/West,
2094,Pixel 45,RGB,Border/West,
2097,Pixel 46,RGB,Border/West,
2100,Pixel 47,RGB,Border/West,
2103,Pixel 48,RGB,Border/West,
2106,Pixel 49,RGB,Border/West,
2109,Pixel 50,RGB,Border/West,
2112,Pixel 51,RGB,Border/West,
2115,Pixel 52,RGB,Border/West,
2118,Pixel 53,RGB,Border/West,
2121,Pixel 54,RGB,Border/West,
2124,Pixel 55,RGB,Border/West,
2127,Pixel 56,RGB,Border/West,
2130,Pixel 57,RGB,Border/West,
2133,Pixel 58,RGB,Border/West,
2136,Pixel 59,RGB,Border/West,
2139,Pixel 60,RGB,Border/West,
2142,Pixel 61,RGB,Border/West,
